,student,currProb,course,session,priorTutorAction,reward,probDiff,Level,TotalTime,cumul_avgstepTimeWE,cumul_TotalWETime,stepTimeDeviation,ruleScoreMP,cumul_HoverHintCount
0,0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,0,0,0,0,0
1,0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,0,1,1,0,1,0,1,0
2,0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,0,1,1,1,1,0,1,0
3,0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.0789473684,0,1,0,1,1,0,0,0
4,0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,2,0,0,0,0,0,0
5,0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,2,1,0,1,0,1,0
6,0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.810039805,1,2,1,0,1,0,0,0
7,0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,3,1,0,1,0,1,0
8,0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,3,1,0,1,0,1,0
9,0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.2650730195,1,3,0,0,1,0,1,0
10,0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,4,0,0,0,0,1,0
11,0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,4,1,0,1,0,1,0
12,0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.6088765603,1,4,0,0,1,0,1,0
13,0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,5,0,0,0,0,0,0
14,0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,5,1,1,0,0,1,0
15,0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.6883116883,1,5,0,1,0,0,0,0
16,0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,6,0,0,0,0,0,0
17,0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,6,1,1,0,0,1,0
18,0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.7697536109,1,6,0,1,0,0,0,0
19,0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,0,1,1,0,1,1,1,0
20,0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,0,1,1,0,1,1,0,0
21,0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,0,1,1,0,1,1,1,0
22,0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.7894736842,0,1,1,0,1,1,0,0
23,0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,2,0,0,0,1,1,0
24,0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,2,1,0,0,1,1,0
25,0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.9416187528,1,2,1,0,0,1,1,0
26,0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,3,0,0,0,1,1,0
27,0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,3,1,0,1,1,1,0
28,0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.7543444562,1,3,1,0,1,1,1,0
29,0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,4,1,0,0,1,1,0
30,0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,4,1,0,0,1,1,0
31,0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.5145631068,1,4,0,0,0,1,1,0
32,0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,5,1,0,0,1,1,0
33,0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,5,1,1,0,1,1,0
34,0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0,1,5,0,1,0,1,1,0
35,0008-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,6,1,0,0,1,1,0
36,0008-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,6,1,0,0,1,1,0
37,0008-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0.0,1,6,0,0,0,1,1,0
38,0009-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,0,0,0,0,0
39,0009-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,0,1,1,1,1,0,1,0
40,0009-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,0,1,1,0,0,0
41,0009-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-49.3421052632,0,1,0,1,1,1,0,0
42,0009-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0,1,2,1,0,1,1,1,0
43,0009-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0,1,2,1,1,1,1,1,0
44,0009-F14,2.1.3.0,226-001-BARNES-F14,2,PS,117.0731977,1,2,1,1,1,1,0,0
45,0009-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0.0,1,3,1,1,0,1,1,0
46,0009-F14,3.1.2.0,226-001-BARNES-F14,2,WE,0.0,1,3,1,1,0,1,1,0
47,0009-F14,3.1.3.0,226-001-BARNES-F14,2,PS,-102.48837399,1,3,0,1,0,1,1,0
48,0009-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0.0,1,4,0,0,0,1,0,0
49,0009-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0.0,1,4,1,1,0,1,1,0
50,0009-F14,4.1.3.0,226-001-BARNES-F14,3,PS,36.3644244105,1,4,0,1,0,1,0,0
51,0009-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0.0,1,5,0,0,0,1,0,0
52,0009-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0.0,1,5,1,1,0,1,1,0
53,0009-F14,5.1.3.0,226-001-BARNES-F14,3,PS,16.8617566644,1,5,0,1,0,1,0,0
54,0009-F14,6.1.1.0,226-001-BARNES-F14,3,WE,0.0,1,6,1,1,0,1,1,0
55,0009-F14,6.1.2.0,226-001-BARNES-F14,3,WE,0.0,1,6,1,1,0,1,1,0
56,0009-F14,6.1.3.0,226-001-BARNES-F14,3,PS,-51.3660957832,1,6,0,1,0,1,0,0
57,000b-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,0,1,0,0,1,0,0,0
58,000b-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0.0,0,1,1,0,1,0,1,0
59,000b-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0.0,0,1,1,0,1,0,1,0
60,000b-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-34.8684210526,0,1,1,0,1,0,0,0
61,000b-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0,1,2,1,0,1,0,1,0
62,000b-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0,1,2,1,0,1,0,1,0
63,000b-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-9.16519239275,1,2,0,0,1,1,0,0
64,000b-F14,3.-1.1.0,226-001-BARNES-F14,2,WE,0.0,-1,3,1,0,0,1,1,0
65,000b-F14,3.-1.2.0,226-001-BARNES-F14,2,PS,0.0,-1,3,0,0,0,0,0,0
66,000b-F14,3.-1.3.0,226-001-BARNES-F14,2,PS,0.0,-1,3,1,0,0,1,0,0
